title,imdb_id,tmdb_id,original_title,adult,belongs_to_collection,poster_path,budget,genres,homepage,overview,popularity,production_companies,production_countries,release_date,spoken_languages,status,vote_average,vote_count,movie_id,original_language
18 Fingers of Death!,tt0397853,20989.0,18 Fingers of Death!,False,,/pXi2jyo8JfvcYDRR8HktEGkbcPI.jpg,0.0,,,"The ""buzz"" in Hollywood is that, ""18 FINGERS OF DEATH!"" will kick the butt out of the low budget martial arts movies genre and knocks us down to the ground laughing! This funny ""sockumentart"" of the world of Chop sockey, kung fooey, ninja poo poo, karate kidding croutching tiger stuff takes you on the journey of making martial arts movies at it's lowest.",0.142365,,,2006-04-11,,Released,5.0,3.0,18+fingers+of+death+2006,en
18 Years Old and Rising,tt1946269,91052.0,J'Aime Regarder les Filles,False,,/pj5gBkKnC5N144RrnxQVX95DQAp.jpg,0.0,,,"Primo is an ordinary middle-class youngster studying for his baccalaureate, who gets side-tracked when he falls in love with a rich girl. They soon learn they have to deal with her condescending friends who look down upon this upstart.",1.269941,,,2011-07-20,,Released,5.1,18.0,18+years+old+and+rising+2011,fr
180° South: Conquerors of the Useless,tt1407927,39333.0,180° South,False,,/92cdgCpVMBSKgATt4ICJ6Ri72QT.jpg,0.0,,http://www.180south.com,The film follows adventurer Jeff Johnson as he retraces the epic 1968 journey of his heroes Yvon Chouinard and Doug Tompkins to Patagonia.,1.005463,,,2010-02-10,,Released,6.6,20.0,180+south+conquerors+of+the+useless+2010,en
1900,tt0074084,3870.0,Novecento,False,,/lgydVQAt4wFBc2hvf9uWgUXtsb3.jpg,9000000.0,,,"Set in Bertolucci's ancestral region of Emilia, the film chronicles the lives of two men during the political turmoils that took place in Italy in the first half on the 20th century.",6.317822,,,1976-09-03,,Released,7.5,84.0,1900+1976,it
1911,tt1772230,76349.0,????,False,,/4B553EK5EWUc28Jvl2vZ3xwDWF4.jpg,30000000.0,,http://www.1911movie.com/,"At the beginning of the 20th century, China is in a state of crisis. The country is split into warring factions, the citizens are starving, and recent political reforms have made matters worse, not better. The ruling Qing Dynasty, led by a seven-year-old emperor, and his ruthless mother, Empress Dowager Longyu is completely out of touch after 250 years of unquestioned power. Huang Xing has recently returned from Japan, where he has studied the art of modern warfare. When he finds his country falling apart, he feels he has no choice but to pick up the sword.",3.835131,,,2011-07-03,,Released,5.0,41.0,1911+2011,zh
1939: Hollywood's Greatest Year,tt1454902,266814.0,1939: Hollywood's Greatest Year,False,,/mqPhtjmYmvWHBGxdkhuT2hIKIh6.jpg,0.0,,,"1939: Hollywood's Greatest Year is a once-over-lightly evocation of a slate of classic films unmatched before or since. In a year permitting 10 Best Picture nominees, the final cut included Gone with the Wind, The Wizard of Oz, Dark Victory, Goodbye, Mr. Chips, Mr. Smith Goes to Washington, Ninotchka, Of Mice and Men, Stagecoach, Wuthering Heights, Love Affair. Shut out: The Roaring '20s, The Hunchback of Notre Dame, Intermezzo, Destry Rides Again, Idiot's Delight, Young Mr. Lincoln, Gunga Din. This hour-long film finds room to acknowledge a few of these non-starters, but its brevity means a lot gets left out. This includes the absence of anything that doesn't celebrate the studio system, including the practices of the shrewd tyrants who ran them, seen in brief archival footage.",0.097805,,,2009-07-02,,Released,8.0,1.0,1939+hollywoods+greatest+year+2009,en
1944 The Final Defence,tt0378848,49322.0,Tali-Ihantala 1944,False,,/35azd5Cp0luhyDrgQWlWPKOqtI4.jpg,0.0,,,"The Soviet army breaks through the Finnish defences on the Karelian Isthmus in June 1944, advancing with overwhelming force. Somehow, the Finnish troops must find the strength to fight back, with all odds against them. The Battle of Tali-Ihantala was the largest battle ever fought in the history of the Nordic countries. This film depicts the true events through five separate stories.",0.493879,,,2007-12-07,,Released,4.6,4.0,1944+the+final+defence+2007,fi
1990: The Bronx Warriors,tt0085124,61755.0,1990: I guerrieri del Bronx,False,,/5K9eHDtdvVAYoyw6XiW8eayH0gB.jpg,0.0,,,"In a post-apocalyptic New York City, a policeman infiltrates the Bronx, which has become a battleground for several murderous street gangs.",8.273556,,,1982-08-22,,Released,4.2,18.0,1990+the+bronx+warriors+1982,it
1991: The Year Punk Broke,tt0103595,28742.0,1991: The Year Punk Broke,False,,/l6ooyXizlKKYuLLDPikqy7TBawG.jpg,0.0,,,"David Markey's documentary of life on the road with Sonic Youth and Nirvana during their tour of Europe in late 1991. Also featuring live performances by Dinosaur Jr, Babes In Toyland, The Ramones and Gumball.",1.682201,,,1992-01-01,,Released,7.0,11.0,1991+the+year+punk+broke+1992,en
2 or 3 Things I Know About Her,tt0060304,8074.0,Deux ou trois choses que je sais d'elle,False,,/i1gpu7tlXsOVhhRdPIxCNphYJV0.jpg,0.0,,,The story of a housewife who must work the streets to earn an extra living - and who becomes the starting point for a larger socio-political essay.,7.273791,,,1967-03-17,,Released,7.0,33.0,2+or+3+things+i+know+about+her+1967,fr
